/home/jules/.pyenv/versions/3.12.12/lib/python3.12/site-packages/backtesting/lib.py:301: FutureWarning: 'H' is deprecated and will be removed in a future version, please use 'h' instead.
  resampled = series.resample(rule, label='right').agg(agg).dropna()
Backtest.run:   0%|          | 0/31065 [00:00<?, ?bar/s]Time: 2023-01-01 05:00:00, Price: 16507.99, ETF VWAP: nan, ETF Trigger: nan, Low: 16503.19
Time: 2023-01-01 05:15:00, Price: 16511.9, ETF VWAP: nan, ETF Trigger: nan, Low: 16503.75
Time: 2023-01-01 05:30:00, Price: 16511.06, ETF VWAP: nan, ETF Trigger: nan, Low: 16505.6
Time: 2023-01-01 05:45:00, Price: 16521.08, ETF VWAP: nan, ETF Trigger: nan, Low: 16508.73
Time: 2023-01-01 06:00:00, Price: 16530.32, ETF VWAP: nan, ETF Trigger: nan, Low: 16519.93
Time: 2023-01-01 06:15:00, Price: 16535.66, ETF VWAP: nan, ETF Trigger: nan, Low: 16529.66
Time: 2023-01-01 06:30:00, Price: 16534.44, ETF VWAP: nan, ETF Trigger: nan, Low: 16528.51
Time: 2023-01-01 06:45:00, Price: 16532.17, ETF VWAP: nan, ETF Trigger: nan, Low: 16528.0
Time: 2023-01-01 07:00:00, Price: 16519.93, ETF VWAP: nan, ETF Trigger: nan, Low: 16513.54
Time: 2023-01-01 07:15:00, Price: 16513.31, ETF VWAP: nan, ETF Trigger: nan, Low: 16490.0
Time: 2023-01-01 07:30:00, Price: 16516.63, ETF VWAP: nan, ETF Trigger: nan, Low: 16495.55
Time: 2023-01-01 07:45:00, Price: 16516.36, ETF VWAP: nan, ETF Trigger: nan, Low: 16511.68
Time: 2023-01-01 08:00:00, Price: 16510.12, ETF VWAP: nan, ETF Trigger: nan, Low: 16507.76
Time: 2023-01-01 08:15:00, Price: 16515.12, ETF VWAP: nan, ETF Trigger: nan, Low: 16503.59
Time: 2023-01-01 08:30:00, Price: 16501.27, ETF VWAP: nan, ETF Trigger: nan, Low: 16499.66
Time: 2023-01-01 08:45:00, Price: 16504.22, ETF VWAP: nan, ETF Trigger: nan, Low: 16498.84
Time: 2023-01-01 09:00:00, Price: 16505.6, ETF VWAP: nan, ETF Trigger: nan, Low: 16496.99
Time: 2023-01-01 09:15:00, Price: 16506.52, ETF VWAP: nan, ETF Trigger: nan, Low: 16504.3
Time: 2023-01-01 09:30:00, Price: 16522.9, ETF VWAP: nan, ETF Trigger: nan, Low: 16506.36
Time: 2023-01-01 09:45:00, Price: 16529.42, ETF VWAP: nan, ETF Trigger: nan, Low: 16516.94
Time: 2023-01-01 10:00:00, Price: 16533.71, ETF VWAP: nan, ETF Trigger: nan, Low: 16524.48
Time: 2023-01-01 10:15:00, Price: 16535.8, ETF VWAP: nan, ETF Trigger: nan, Low: 16531.83
Time: 2023-01-01 10:30:00, Price: 16529.84, ETF VWAP: nan, ETF Trigger: nan, Low: 16524.51
Time: 2023-01-01 10:45:00, Price: 16538.07, ETF VWAP: nan, ETF Trigger: nan, Low: 16528.48
Time: 2023-01-01 11:00:00, Price: 16539.69, ETF VWAP: nan, ETF Trigger: nan, Low: 16535.88
Time: 2023-01-01 11:15:00, Price: 16534.76, ETF VWAP: nan, ETF Trigger: nan, Low: 16532.53
Time: 2023-01-01 11:30:00, Price: 16541.86, ETF VWAP: nan, ETF Trigger: nan, Low: 16533.25
Time: 2023-01-01 11:45:00, Price: 16547.29, ETF VWAP: nan, ETF Trigger: nan, Low: 16538.84
Time: 2023-01-01 12:00:00, Price: 16555.33, ETF VWAP: nan, ETF Trigger: nan, Low: 16541.95
Time: 2023-01-01 12:15:00, Price: 16555.42, ETF VWAP: nan, ETF Trigger: nan, Low: 16549.07
Time: 2023-01-01 12:30:00, Price: 16548.54, ETF VWAP: nan, ETF Trigger: nan, Low: 16547.7
Time: 2023-01-01 12:45:00, Price: 16554.56, ETF VWAP: nan, ETF Trigger: nan, Low: 16548.03
Time: 2023-01-01 13:00:00, Price: 16545.61, ETF VWAP: nan, ETF Trigger: nan, Low: 16543.27
Time: 2023-01-01 13:15:00, Price: 16542.26, ETF VWAP: nan, ETF Trigger: nan, Low: 16535.22
Time: 2023-01-01 13:30:00, Price: 16534.44, ETF VWAP: nan, ETF Trigger: nan, Low: 16529.75
Time: 2023-01-01 13:45:00, Price: 16539.19, ETF VWAP: nan, ETF Trigger: nan, Low: 16531.73
Time: 2023-01-01 14:00:00, Price: 16544.2, ETF VWAP: nan, ETF Trigger: nan, Low: 16537.33
Time: 2023-01-01 14:15:00, Price: 16547.15, ETF VWAP: nan, ETF Trigger: nan, Low: 16544.01
Time: 2023-01-01 14:30:00, Price: 16540.62, ETF VWAP: nan, ETF Trigger: nan, Low: 16539.8
Time: 2023-01-01 14:45:00, Price: 16534.84, ETF VWAP: nan, ETF Trigger: nan, Low: 16533.5
Time: 2023-01-01 15:00:00, Price: 16540.41, ETF VWAP: nan, ETF Trigger: nan, Low: 16533.83
Time: 2023-01-01 15:15:00, Price: 16535.07, ETF VWAP: nan, ETF Trigger: nan, Low: 16524.77
Time: 2023-01-01 15:30:00, Price: 16540.32, ETF VWAP: nan, ETF Trigger: nan, Low: 16534.11
Time: 2023-01-01 15:45:00, Price: 16551.21, ETF VWAP: nan, ETF Trigger: nan, Low: 16537.83
Time: 2023-01-01 16:00:00, Price: 16555.45, ETF VWAP: nan, ETF Trigger: nan, Low: 16550.15
Time: 2023-01-01 16:15:00, Price: 16569.56, ETF VWAP: nan, ETF Trigger: nan, Low: 16554.22
Time: 2023-01-01 16:30:00, Price: 16555.83, ETF VWAP: nan, ETF Trigger: nan, Low: 16550.81
Time: 2023-01-01 16:45:00, Price: 16556.14, ETF VWAP: nan, ETF Trigger: nan, Low: 16553.08
Time: 2023-01-01 17:00:00, Price: 16562.57, ETF VWAP: nan, ETF Trigger: nan, Low: 16554.6
Time: 2023-01-01 17:15:00, Price: 16575.22, ETF VWAP: nan, ETF Trigger: nan, Low: 16561.55
Time: 2023-01-01 17:30:00, Price: 16576.97, ETF VWAP: nan, ETF Trigger: nan, Low: 16563.83
Time: 2023-01-01 17:45:00, Price: 16571.1, ETF VWAP: nan, ETF Trigger: nan, Low: 16568.33
Time: 2023-01-01 18:00:00, Price: 16584.75, ETF VWAP: nan, ETF Trigger: nan, Low: 16571.09
Time: 2023-01-01 18:15:00, Price: 16587.05, ETF VWAP: nan, ETF Trigger: nan, Low: 16580.14
Time: 2023-01-01 18:30:00, Price: 16589.55, ETF VWAP: nan, ETF Trigger: nan, Low: 16582.84
Time: 2023-01-01 18:45:00, Price: 16583.74, ETF VWAP: nan, ETF Trigger: nan, Low: 16577.39
Time: 2023-01-01 19:00:00, Price: 16598.85, ETF VWAP: nan, ETF Trigger: nan, Low: 16583.69
Time: 2023-01-01 19:15:00, Price: 16612.18, ETF VWAP: nan, ETF Trigger: nan, Low: 16594.77
Time: 2023-01-01 19:30:00, Price: 16606.56, ETF VWAP: nan, ETF Trigger: nan, Low: 16601.81
Time: 2023-01-01 19:45:00, Price: 16596.48, ETF VWAP: nan, ETF Trigger: nan, Low: 16586.2
Time: 2023-01-01 20:00:00, Price: 16602.26, ETF VWAP: nan, ETF Trigger: nan, Low: 16592.87
Time: 2023-01-01 20:15:00, Price: 16610.63, ETF VWAP: nan, ETF Trigger: nan, Low: 16602.25
Time: 2023-01-01 20:30:00, Price: 16604.01, ETF VWAP: nan, ETF Trigger: nan, Low: 16602.77
Time: 2023-01-01 20:45:00, Price: 16599.24, ETF VWAP: nan, ETF Trigger: nan, Low: 16596.26
Time: 2023-01-01 21:00:00, Price: 16590.51, ETF VWAP: nan, ETF Trigger: nan, Low: 16587.05
Time: 2023-01-01 21:15:00, Price: 16596.48, ETF VWAP: nan, ETF Trigger: nan, Low: 16590.11
Time: 2023-01-01 21:30:00, Price: 16596.3, ETF VWAP: nan, ETF Trigger: nan, Low: 16592.04
Time: 2023-01-01 21:45:00, Price: 16601.82, ETF VWAP: nan, ETF Trigger: nan, Low: 16594.99
Time: 2023-01-01 22:00:00, Price: 16594.54, ETF VWAP: nan, ETF Trigger: nan, Low: 16592.93
Time: 2023-01-01 22:15:00, Price: 16589.72, ETF VWAP: nan, ETF Trigger: nan, Low: 16583.41
Time: 2023-01-01 22:30:00, Price: 16594.23, ETF VWAP: nan, ETF Trigger: nan, Low: 16587.9
Time: 2023-01-01 22:45:00, Price: 16597.28, ETF VWAP: nan, ETF Trigger: nan, Low: 16587.36
Time: 2023-01-01 23:00:00, Price: 16611.91, ETF VWAP: nan, ETF Trigger: nan, Low: 16595.6
Time: 2023-01-01 23:15:00, Price: 16603.76, ETF VWAP: nan, ETF Trigger: nan, Low: 16600.0
Time: 2023-01-01 23:30:00, Price: 16602.7, ETF VWAP: nan, ETF Trigger: nan, Low: 16597.99
Time: 2023-01-01 23:45:00, Price: 16611.58, ETF VWAP: nan, ETF Trigger: nan, Low: 16598.17
Time: 2023-01-02 00:00:00, Price: 16607.61, ETF VWAP: nan, ETF Trigger: nan, Low: 16605.46
Time: 2023-01-02 00:15:00, Price: 16584.33, ETF VWAP: nan, ETF Trigger: nan, Low: 16583.58
Time: 2023-01-02 00:30:00, Price: 16587.18, ETF VWAP: nan, ETF Trigger: nan, Low: 16579.49
Time: 2023-01-02 00:45:00, Price: 16582.36, ETF VWAP: nan, ETF Trigger: nan, Low: 16576.28
Time: 2023-01-02 01:00:00, Price: 16561.21, ETF VWAP: nan, ETF Trigger: nan, Low: 16548.14
Time: 2023-01-02 01:15:00, Price: 16563.75, ETF VWAP: nan, ETF Trigger: nan, Low: 16542.52
Time: 2023-01-02 01:30:00, Price: 16564.25, ETF VWAP: nan, ETF Trigger: nan, Low: 16557.91
Time: 2023-01-02 01:45:00, Price: 16558.01, ETF VWAP: nan, ETF Trigger: nan, Low: 16556.17
Time: 2023-01-02 02:00:00, Price: 16568.53, ETF VWAP: nan, ETF Trigger: nan, Low: 16547.62
Time: 2023-01-02 02:15:00, Price: 16569.81, ETF VWAP: nan, ETF Trigger: nan, Low: 16566.84
Time: 2023-01-02 02:30:00, Price: 16570.61, ETF VWAP: nan, ETF Trigger: nan, Low: 16566.89
Time: 2023-01-02 02:45:00, Price: 16580.5, ETF VWAP: nan, ETF Trigger: nan, Low: 16570.36
Time: 2023-01-02 03:00:00, Price: 16582.13, ETF VWAP: nan, ETF Trigger: nan, Low: 16578.18
Time: 2023-01-02 03:15:00, Price: 16578.52, ETF VWAP: nan, ETF Trigger: nan, Low: 16576.26
Time: 2023-01-02 03:30:00, Price: 16600.36, ETF VWAP: nan, ETF Trigger: nan, Low: 16577.53
Time: 2023-01-02 03:45:00, Price: 16656.66, ETF VWAP: nan, ETF Trigger: nan, Low: 16595.78
Time: 2023-01-02 04:00:00, Price: 16638.91, ETF VWAP: nan, ETF Trigger: nan, Low: 16633.95
Time: 2023-01-02 04:15:00, Price: 16634.4, ETF VWAP: nan, ETF Trigger: nan, Low: 16627.74
Time: 2023-01-02 04:30:00, Price: 16627.68, ETF VWAP: nan, ETF Trigger: nan, Low: 16621.33
Time: 2023-01-02 04:45:00, Price: 16633.4, ETF VWAP: nan, ETF Trigger: nan, Low: 16623.86
Time: 2023-01-02 05:00:00, Price: 16623.64, ETF VWAP: nan, ETF Trigger: nan, Low: 16616.49
Time: 2023-01-02 05:15:00, Price: 16627.04, ETF VWAP: nan, ETF Trigger: nan, Low: 16612.03
Time: 2023-01-02 05:30:00, Price: 16648.21, ETF VWAP: nan, ETF Trigger: nan, Low: 16615.56
Time: 2023-01-02 05:45:00, Price: 16640.26, ETF VWAP: nan, ETF Trigger: nan, Low: 16638.41
Time: 2023-01-02 06:00:00, Price: 16642.77, ETF VWAP: nan, ETF Trigger: nan, Low: 16640.05
Time: 2023-01-02 06:15:00, Price: 16640.18, ETF VWAP: nan, ETF Trigger: nan, Low: 16640.0
Time: 2023-01-02 06:30:00, Price: 16633.52, ETF VWAP: nan, ETF Trigger: nan, Low: 16628.01
Time: 2023-01-02 06:45:00, Price: 16633.59, ETF VWAP: nan, ETF Trigger: nan, Low: 16628.72
Time: 2023-01-02 07:00:00, Price: 16688.34, ETF VWAP: nan, ETF Trigger: nan, Low: 16630.33
Time: 2023-01-02 07:15:00, Price: 16727.63, ETF VWAP: nan, ETF Trigger: nan, Low: 16670.38
Time: 2023-01-02 07:30:00, Price: 16731.52, ETF VWAP: nan, ETF Trigger: nan, Low: 16709.14
Time: 2023-01-02 07:45:00, Price: 16714.44, ETF VWAP: nan, ETF Trigger: nan, Low: 16710.96
Time: 2023-01-02 08:00:00, Price: 16739.38, ETF VWAP: nan, ETF Trigger: nan, Low: 16701.2
Time: 2023-01-02 08:15:00, Price: 16732.23, ETF VWAP: nan, ETF Trigger: nan, Low: 16725.29
Time: 2023-01-02 08:30:00, Price: 16735.16, ETF VWAP: nan, ETF Trigger: nan, Low: 16724.13
Time: 2023-01-02 08:45:00, Price: 16726.62, ETF VWAP: nan, ETF Trigger: nan, Low: 16719.16
Time: 2023-01-02 09:00:00, Price: 16715.49, ETF VWAP: nan, ETF Trigger: nan, Low: 16714.42
Time: 2023-01-02 09:15:00, Price: 16717.19, ETF VWAP: nan, ETF Trigger: nan, Low: 16713.57
Time: 2023-01-02 09:30:00, Price: 16717.82, ETF VWAP: nan, ETF Trigger: nan, Low: 16707.66
Time: 2023-01-02 09:45:00, Price: 16711.87, ETF VWAP: nan, ETF Trigger: nan, Low: 16705.3
Time: 2023-01-02 10:00:00, Price: 16735.61, ETF VWAP: nan, ETF Trigger: nan, Low: 16702.6
Time: 2023-01-02 10:15:00, Price: 16726.04, ETF VWAP: nan, ETF Trigger: nan, Low: 16717.54
Time: 2023-01-02 10:30:00, Price: 16715.94, ETF VWAP: nan, ETF Trigger: nan, Low: 16715.71
Time: 2023-01-02 10:45:00, Price: 16721.06, ETF VWAP: nan, ETF Trigger: nan, Low: 16716.04
Time: 2023-01-02 11:00:00, Price: 16719.64, ETF VWAP: nan, ETF Trigger: nan, Low: 16714.58
Time: 2023-01-02 11:15:00, Price: 16712.32, ETF VWAP: nan, ETF Trigger: nan, Low: 16710.6
Time: 2023-01-02 11:30:00, Price: 16721.99, ETF VWAP: nan, ETF Trigger: nan, Low: 16697.96
Time: 2023-01-02 11:45:00, Price: 16727.98, ETF VWAP: nan, ETF Trigger: nan, Low: 16721.22
Time: 2023-01-02 12:00:00, Price: 16731.9, ETF VWAP: nan, ETF Trigger: nan, Low: 16724.27
Time: 2023-01-02 12:15:00, Price: 16731.3, ETF VWAP: nan, ETF Trigger: nan, Low: 16726.69
Time: 2023-01-02 12:30:00, Price: 16717.21, ETF VWAP: nan, ETF Trigger: nan, Low: 16716.97
Time: 2023-01-02 12:45:00, Price: 16714.96, ETF VWAP: nan, ETF Trigger: nan, Low: 16712.41
Time: 2023-01-02 13:00:00, Price: 16712.33, ETF VWAP: nan, ETF Trigger: nan, Low: 16705.06
Time: 2023-01-02 13:15:00, Price: 16711.88, ETF VWAP: nan, ETF Trigger: nan, Low: 16708.12
Time: 2023-01-02 13:30:00, Price: 16683.06, ETF VWAP: nan, ETF Trigger: nan, Low: 16676.74
Time: 2023-01-02 13:45:00, Price: 16688.64, ETF VWAP: nan, ETF Trigger: nan, Low: 16682.15
Time: 2023-01-02 14:00:00, Price: 16698.16, ETF VWAP: nan, ETF Trigger: nan, Low: 16687.84
